#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2024 02 07 09 26  1.6  1.0 12.5  1.2  7.1 NNE  NW    AVERAGE  7.9  21
2024 02 07 08 56  1.7  1.1 12.5  1.3  7.7 NNE  NW    AVERAGE  8.2  12
2024 02 07 08 26  1.6  1.2 12.5  1.1  7.7   N  NW      SWELL  8.8   8
2024 02 07 07 56  1.4  1.0 12.5  1.0  9.9   N   N      SWELL  8.3  11
2024 02 07 07 26  1.4  1.1 11.8  0.9  8.3 NNE  NW      SWELL  8.6  12
2024 02 07 06 56  1.3  1.1 12.5  0.8  9.9   N   N      SWELL  8.7  11
2024 02 07 06 26  1.2  1.0 13.3  0.7  9.9   N   N      SWELL  8.8   2
2024 02 07 05 56  1.2  0.9 12.5  0.7  9.9   N   N      SWELL  8.6   5
2024 02 07 05 26  1.2  1.0 11.8  0.7  9.9   N   N      SWELL  8.5  11
2024 02 07 04 56  1.3  1.1 11.8  0.7  9.9   N NNW      SWELL  8.9   5
2024 02 07 04 26  1.2  1.0 12.5  0.7  9.9   N   N      SWELL  8.9   2
2024 02 07 03 56  1.4  1.2 12.5  0.7  9.9 NNE NNW      SWELL  9.6  12
2024 02 07 03 26  1.2  1.0 12.5  0.7  9.9   N   N      SWELL  9.2   4
2024 02 07 02 56  1.1  0.9 12.5  0.6  9.9   N   N      SWELL  9.1 357
2024 02 07 02 26  1.1  0.8 12.5  0.7  9.9   N   N      SWELL  8.8   4
2024 02 07 01 56  1.1  1.0 12.5  0.6  9.1   N NNW      SWELL  9.2   4
2024 02 07 01 26  1.2  1.0 13.3  0.6  9.9   N   N      SWELL  9.1   5
2024 02 07 00 56  1.2  1.1 13.3  0.7  9.9   N NNW      SWELL  9.4  10
2024 02 07 00 26  1.0  0.8 12.5  0.6  9.9   N NNW      SWELL  8.3 360
